iter	Passed	Remaining
174	12691	23570
175	12763	23496
176	12832	23416
177	12903	23342
178	12976	23271
179	13047	23195
180	13121	23125
181	13191	23048
182	13262	22974
183	13333	22899
184	13404	22823
185	13476	22750
186	13540	22664
187	13615	22595
188	13707	22556
189	13791	22501
190	13868	22436
191	13949	22376
192	14025	22310
193	14092	22228
194	14158	22144
195	14227	22066
196	14296	21988
197	14366	21912
198	14433	21832
199	14501	21752
200	14566	21668
201	14642	21601
202	14736	21560
203	14820	21504
204	14907	21452
205	14978	21376
206	15050	21303
207	15127	21237
208	15204	21169
209	15278	21098
210	15351	21027
211	15445	20983
212	15513	20903
213	15583	20827
214	15684	20791
215	15758	20719
216	15830	20644
217	15901	20570
218	15983	20508
219	16072	20456
220	16147	20385
221	16210	20299
222	16278	20220
223	16361	20159
224	16437	20090
225	16517	20025
226	16590	19952
227	16661	19876
228	16748	19820
229	16829	19756
230	16903	19684
231	16978	19612
232	17061	19551
233	17139	19483
234	17219	19417
235	17307	19360
236	17405	19315
237	17498	19263
238	17574	19191
239	17666	19138
240	17778	19106
241	17849	19029
242	17924	18957
243	18004	18890
244	18081	18819
245	18157	18747
246	18235	18678
247	18310	18606
248	18387	18535
249	18463	18463
250	18537	18389
251	18624	18329
252	18703	18260
253	18771	18180
254	18846	18107
255	18920	18033
256	18999	17964
257	19072	17889
258	19145	17814
259	19240	17760
260	19345	17714
261	19426	17647
262	19507	17579
263	19587	17509
264	19665	17439
265	19742	17367
266	19820	17296
267	19896	17223
268	19972	17151
269	20044	17075
270	20123	17004
271	20210	16941
272	20288	16869
273	20363	16796
274	20444	16727
275	20524	16657
276	20603	16586
277	20674	16510
278	20749	16435
279	20823	16361
280	20905	16292
281	20997	16231
282	21084	16166
283	21153	16088
284	21225	16012
285	21298	15936
286	21376	15864
287	21457	15795
288	21547	15731
289	21624	15659
290	21698	15584
291	21774	15510
292	21857	15441
293	21940	15373
294	22022	15304
295	22097	15229
296	22169	15152
297	22247	15080
298	22344	15020
299	22436	14957
300	22509	14881
301	22584	14807
302	22659	14732
303	22739	14660
304	22819	14589
305	22895	14515
306	22967	14438
307	23048	14368
308	23128	14296
309	23205	14222
310	23277	14145
311	23341	14064
312	23411	13987
313	23494	13917
314	23582	13849
315	23671	13783
316	23741	13705
317	23815	13630
318	23885	13552
319	23959	13477
320	24034	13402
321	24108	13327
322	24187	13254
323	24260	13178
324	24328	13099
325	24400	13023
326	24484	12953
327	24556	12877
328	24632	12803
329	24710	12729
330	24780	12652
331	24849	12574
332	24914	12494
333	24979	12414
334	25048	12337
335	25119	12260
336	25192	12185
337	25267	12110
338	25341	12035
339	25410	11957
340	25477	11879
341	25547	11802
342	25622	11727
343	25688	11649
344	25753	11570
345	25823	11493
346	25889	11415
347	25954	11336
348	26023	11259
349	26088	11180
350	26169	11109
351	26240	11032
352	26311	10956
353	26379	10879
354	26450	10803
355	26523	10728
356	26596	10653
357	26670	10578
358	26744	10504
359	26816	10428
360	26887	10352
361	26959	10277
362	27032	10202
363	27103	10126
364	27180	10053
365	27251	9977
366	27318	9900
367	27390	9824
368	27465	9750
369	27542	9677
370	27613	9601
371	27684	9525
372	27755	9450
373	27825	9374
374	27892	9297
375	27962	9221
376	28032	9145
377	28100	9069
378	28165	8992
379	28232	8915
380	28297	8838
381	28363	8761
382	28429	8684
383	28513	8613
384	28581	8537
385	28650	8461
386	28722	8386
387	28793	8311
388	28862	8235
389	28933	8160
390	29000	8084
391	29068	8008
392	29140	7933
393	29209	7858
394	29278	7782
395	29348	7707
396	29416	7631
397	29478	7554
398	29542	7478
399	29614	7403
400	29677	7326
401	29743	7250
402	29826	7178
403	29920	7109
404	29989	7034
405	30056	6958
406	30124	6883
407	30186	6806
408	30256	6731
409	30323	6656
410	30388	6580
411	30451	6504
412	30515	6428
413	30589	6354
414	30658	6279
415	30729	6204
416	30811	6132
417	30888	6059
418	30959	5985
419	31028	5910
420	31100	5836
421	31171	5761
422	31244	5687
423	31321	5614
424	31396	5540
425	31469	5466
426	31546	5393
427	31619	5319
428	31689	5244
429	31768	5171
430	31843	5097
431	31915	5023
432	31990	4950
433	32066	4876
434	32146	4803
435	32220	4729
436	32296	4655
437	32368	4581
438	32441	4507
439	32513	4433
440	32586	4359
441	32657	4285
442	32729	4211
443	32799	4136
444	32870	4062
445	32935	3987
446	32999	3912
447	33076	3839
448	33145	3764
449	33213	3690
450	33278	3615
451	33351	3541
452	33421	3467
453	33490	3393
454	33560	3319
455	33636	3245
456	33715	3172
457	33792	3098
458	33870	3025
459	33951	2952
460	34033	2879
461	34110	2805
462	34186	2731
463	34264	2658
464	34345	2585
465	34418	2511
466	34487	2436
467	34557	2362
468	34626	2288
469	34697	2214
470	34769	2140
471	34843	2066
472	34914	1992
473	34985	1919
474	35060	1845
475	35139	1771
476	35229	1698
477	35332	1626
478	35420	1552
479	35513	1479
480	35590	1405
481	35668	1332
482	35750	1258
483	35832	1184
484	35914	1110
485	35999	1037
486	36080	963
487	36164	889
488	36245	815
489	36326	741
490	36407	667
491	36488	593
492	36567	519
493	36645	445
494	36724	370
495	36809	296
496	36889	222
497	36968	148
498	37048	74
499	37132	0
